Unidad,Cuad,Nivel,Rasgo,Excavador,Fecha,Context,N frag.,Tamaño frag.,Length,Width,Thickness,Material,Technological Type,Debris,Platform Type,Termination,% Cortex,Portion,Modification,Weight,Notes,Foto
8,23,?-169,,JQ,15/08/23,,1,1,,,,16,,1,0,2,0,3,,0.1,MOQ-1296,
8,23,?-169,,JQ,15/08/23,,1,1,,,,16,,1,1,0,0,2,,0.12,MOQ-1297,
8,23,?-169,,JQ,15/08/23,,1,1,,,,16,,1,0,2,0,3,,0.08,MOQ-1298,
8,23,?-169,,JQ,15/08/23,,1,1,,,,16,,1,1,2,0,1,,0.12,MOQ-1299,
8,23,?-169,,JQ,15/08/23,,1,1,,,,16,,3,0,0,0,0,,0.23,MOQ-1300,
8,23,?-169,,JQ,15/08/23,,1,1,,,,16,,3,0,0,0,0,,0.81,MOQ-1301,
8,23,?-169,,JQ,15/08/23,,1,1,,,,16,,3,0,0,0,0,,0.29,MOQ-1302,
8,23,?-169,,JQ,15/08/23,,1,1,,,,16,,1,0,2,0,3,,0.12,MOQ-1303,
8,23,?-169,,JQ,15/08/23,,1,2,,,,16,4,,,1,0,,2,1.06,MOQ-1304,x
8,23,?-169,,JQ,15/08/23,,1,1,,,,16,,3,0,0,0,0,,0.38,MOQ-1305,
8,23,?-169,,JQ,15/08/23,,1,1,,,,16,,3,0,0,0,0,,0.3,MOQ-1306,
8,23,?-169,,JQ,15/08/23,,1,1,,,,16,,2,0,1,0,3,,0.62,MOQ-1307,
8,23,?-169,,JQ,15/08/23,,1,1,,,,16,,1,1,1?,0,1,1,0.65,MOQ-1308,x
8,23,?-169,,JQ,15/08/23,,1,1,,,,16,,2,0,3,0,3,,0.5,MOQ-1309,
8,23,?-169,,JQ,15/08/23,,1,1,,,,16,,1,0,1,0,3,,0.19,MOQ-1310,
8,23,?-169,,JQ,15/08/23,,3,1,,,,16,,2,0,0,0,0,,0.03,not-pxrfd,
7,24,247-,House 1,RP/RVQ,7/7/2023,,1,1,,,,16,,2,0,1,0,3,,0.03,MOQ-1492,
7,24,247-,House 1,RP/RVQ,7/7/2023,,1,1,,,,16,,3,0,0,0,0,,0.09,MOQ-1493,
7,24,247-,House 1,RP/RVQ,7/7/2023,,6,1,,,,16,,3,0,0,0,0,,0.24,not-pxrfd,
7,24SE+30NE,247-313,House 5 Below Outside,MB,3/8/2023,,1,1,,,,16,,3,0,0,0,0,,0.25,MOQ-1216,
7,24SE+30NE,247-313,House 5 Below Outside,MB,3/8/2023,,1,1,,,,16,,1,1,1,0,1,,0.12,MOQ-1217,
7,24SE+30NE,247-313,House 5 Below Outside,MB,3/8/2023,,1,1,,,,16,,3,0,0,0,0,,0.43,MOQ-1218,
7,24SE+30NE,247-313,House 5 Below Outside,MB,3/8/2023,,1,1,,,,16,,1,2,2,0,1,,0.51,MOQ-1219,
7,24SE+30NE,247-313,House 5 Below Outside,MB,3/8/2023,,1,1,,,,16,,1,0,0,0,4,,0.45,MOQ-1220,
7,24SE+30NE,247-313,House 5 Below Outside,MB,3/8/2023,,1,2,,,,16,,1,2,2,0,1,,0.8,MOQ-1221,
7,18,303-314,,GDD,30/06/23,,1,2,,,,16,,1,3,1,0,1,1,1.0,MOQ-2070,x
7,33,70-80,House 2 Outside,MB/LL,21/07/23,,1,1,,,,16,,3,0,0,0,0,,0.26,MOQ-2036,
7,25,116-123,House 3 Above,GDD,29/06/23,,1,1,,,,16,,1,1,0,0,2,,0.79,MOQ-2071,
7,25,116-123,House 3 Above,GDD,29/06/23,,1,1,,,,16,,1,0,0,0,4,,0.02,not-pxrfd,
7,23,219-223,House 2 Above,RVQ,23/06/23,,1,1,,,,16,,1,1,1,0,1,,0.39,MOQ-2048,
7,24,233-238,House 1 Above,AFA,29/06/23,,1,2,,,,16,,3,0,0,0,0,,0.93,MOQ-2025,
7,19,176-186,House 3,GDD,29/06/23,,1,1,,,,16,,1,0,1,0,3,,0.03,MOQ-2029,
7,30,165-171,House 1 Inside,RV/SC,28/06/23,,1,1,,,,16,,1,2,0,0,2,,0.79,MOQ-2028,
7,23,219-223,House 2 Above,RVQ,23/06/23,,1,1,,,,16,,1,0,2,0,3,,0.15,MOQ-2033,
7,23,219-223,House 2 Above,RVQ,23/06/23,,1,2,,,,16,,1,1,2,0,1,,0.63,MOQ-2034,
7,21,203-207,House 2 Floor,RP/L,29/06/23,,1,1,,,,16,,1,0,3,0,3,,0.28,MOQ-2030,
7,21,203-207,House 2 Floor,RP/L,29/06/23,,1,1,,,,16,,1,0,1,0,3,,0.21,MOQ-2031,
7,31,49-72,,GDD,28/06/23,,1,1,,,,16,,2,0,0,0,0,,0.42,MOQ-2060,
7,25,116-123,,GDD,29/06/23,,1,1,,,,16,,1,0,2,0,3,,0.17,MOQ-2068,
7,34,76-82,House 2 Outside,MB/LL,21/06/23,,1,2,,,,16,,3,0,0,0,0,,0.93,MOQ-2059,
7,23,223-229,Below House 2,GDD,30/06/23,,1,2,,,,16,,3,0,0,0,0,,2.0,MOQ-2016,
7,35N,87-106,,AF/RV/SC,28/06/23,,1,2,,,,16,,1,2,1,0,1,,0.64,MOQ-1993,
7,34,76-82,House 1 Outside,MB/LL,21/06/23,,1,1,,,,16,,2,0,0,0,0,,0.22,MOQ-2007,
7,24SW,253-261,House 4 Below Floor,MB/LL/RQ,24/07/23,,1,1,,,,16,,3,0,0,0,0,,0.17,MOQ-2055,
7,24SW,253-261,House 4 Below Floor,MB/LL/RQ,24/07/23,,1,2,,,,16,,2,0,0,0,4,,0.47,MOQ-2054,
7,24,233-238,House 1 Above,AFA,29/06/23,,1,1,,,,16,,3,0,0,0,0,,0.51,MOQ-2035,
7,26,125-136,House 3 Outside,GDD,28/06/23,,1,1,,,,16,,3,0,0,0,0,,0.2,MOQ-2022,
7,29,159-163,House 1 Inside,LL,29/06/23,,1,2,,,,16,,2,0,0,0,0,,1.61,MOQ-2050,
7,20,189-202,,GDD,29/06/23,,1,2,,,,16,,2,0,0,0,0,,0.87,MOQ-2011,
7,21,203-207,House 2 Floor,RP/LL,29/06/23,,1,1,,,,16,,1,0,1,0,3,,0.07,MOQ-1982,
7,21,203-207,House 2 Floor,RP/LL,29/06/23,,1,1,,,,16,,2,0,1,0,3,,0.25,MOQ-1983,
7,21,203-207,House 2 Floor,RP/LL,29/06/23,,1,1,,,,16,,3,0,0,0,0,,0.37,MOQ-1984,
7,21,203-207,House 2 Floor,RP/LL,29/06/23,,1,1,,,,16,,1,1,2,0,1,,0.6,MOQ-1985,
7,34,76-82,House 2 Outside,MB/LL,21/06/23,,1,1,,,,16,,1,2,0,1,2,,0.45,MOQ-1992,
7,21,203-207,House 2 Floor,RP/LL,24/06/23,,1,1,,,,16,,1,2,1,0,1,,0.2,MOQ-1964,
7,29,159-163,House 2,AFA,29/06/23,,1,2,,,,16,,1,1,2,0,1,1,0.64,MOQ-2043,
7,29,159-163,House 2,AFA,29/06/23,,1,1,,,,16,4,,,1,0,,2,0.54,MOQ-2044,x
7,29,159-163,House 2,AFA,29/06/23,,1,1,,,,16,,1,1,1,0,1,,0.45,MOQ-2045,
7,29,159-163,House 2,AFA,29/06/23,,1,1,,,,16,4,,,1,0,,2,0.57,MOQ-2046,x
7,29,159-163,House 2,AFA,29/06/23,,1,2,16.3,12.73,3.93,16,4,,,1,0,,2,0.79,MOQ-2047,x
7,36N,103-105,House 2 Outside,RVQ,27/06/23,,1,1,,,,16,,3,0,0,0,0,,0.07,MOQ-2041,
7,36N,103-105,House 2 Outside,RVQ,27/06/23,,1,1,,,,16,,1,0,0,0,4,,0.51,MOQ-2042,
7,27,145-146,House 1 Inside,MB/LL/RP,29/06/23,,1,1,,,,16,,1,1,2,0,1,,0.13,MOQ-1969,
7,27,145-146,House 1 Inside,MB/LL/RP,29/06/23,,1,1,,,,16,,3,0,0,0,0,,0.09,MOQ-1970,
7,27,145-146,House 1 Inside,MB/LL/RP,29/06/23,,1,1,,,,16,,2,0,1,0,3,,0.35,MOQ-1971,
7,27,145-146,House 1 Inside,MB/LL/RP,29/06/23,,1,1,,,,16,,2,0,0,0,0,,0.03,not-pxrfd,
7,34,76-82,House 1 Outside,MB/LL,21/06/23,,1,2,,,,16,,1,1,2,0,1,1,1.0,MOQ-1952,
7,30,165-171,House 1 Inside,RV/SC,28/06/23,,1,1,,,,16,,2,0,0,0,0,,0.03,MOQ-1843,x
7,28,151-152,House 1 Inside,MB/R,28/06/23,,1,2,,,,16,,1,0,1,0,3,,0.4,MOQ-1844,
