Unidad,Cuad,Nivel,Rasgo,Excavador,Fecha,Context,N frag.,Tamaño frag.,Length,Width,Thickness,Material,Technological Type,Debris,Platform Type,Termination,% Cortex,Portion,Modification,Weight,Notes,Foto,House_Num,Location_Type,Context_Type,Debris_Label
7,24,247-,House 1,RP/RVQ,7/7/2023,,1,1,,,,16,,2,0,1,0,3,,0.03,MOQ-1492,,House 1,Unspecified (House),Domestic,Flake shatter
7,24,247-,House 1,RP/RVQ,7/7/2023,,1,1,,,,16,,3,0,0,0,0,,0.09,MOQ-1493,,House 1,Unspecified (House),Domestic,Angular debris
7,24,247-,House 1,RP/RVQ,7/7/2023,,6,1,,,,16,,3,0,0,0,0,,0.24,not-pxrfd,,House 1,Unspecified (House),Domestic,Angular debris
7,24SE+30NE,247-313,House 5 Below Outside,MB,3/8/2023,,1,1,,,,16,,3,0,0,0,0,,0.25,MOQ-1216,,House 5,Outside,Domestic,Angular debris
7,24SE+30NE,247-313,House 5 Below Outside,MB,3/8/2023,,1,1,,,,16,,1,1,1,0,1,,0.12,MOQ-1217,,House 5,Outside,Domestic,Proximal flake
7,24SE+30NE,247-313,House 5 Below Outside,MB,3/8/2023,,1,1,,,,16,,3,0,0,0,0,,0.43,MOQ-1218,,House 5,Outside,Domestic,Angular debris
7,24SE+30NE,247-313,House 5 Below Outside,MB,3/8/2023,,1,1,,,,16,,1,2,2,0,1,,0.51,MOQ-1219,,House 5,Outside,Domestic,Proximal flake
7,24SE+30NE,247-313,House 5 Below Outside,MB,3/8/2023,,1,1,,,,16,,1,0,0,0,4,,0.45,MOQ-1220,,House 5,Outside,Domestic,Proximal flake
7,24SE+30NE,247-313,House 5 Below Outside,MB,3/8/2023,,1,2,,,,16,,1,2,2,0,1,,0.8,MOQ-1221,,House 5,Outside,Domestic,Proximal flake
7,18,303-314,,GDD,30/06/23,,1,2,,,,16,,1,3,1,0,1,1,1.0,MOQ-2070,x,,Unknown,No Context,Proximal flake
7,33,70-80,House 2 Outside,MB/LL,21/07/23,,1,1,,,,16,,3,0,0,0,0,,0.26,MOQ-2036,,House 2,Outside,Domestic,Angular debris
7,25,116-123,House 3 Above,GDD,29/06/23,,1,1,,,,16,,1,1,0,0,2,,0.79,MOQ-2071,,House 3,Above,Domestic,Proximal flake
7,25,116-123,House 3 Above,GDD,29/06/23,,1,1,,,,16,,1,0,0,0,4,,0.02,not-pxrfd,,House 3,Above,Domestic,Proximal flake
7,23,219-223,House 2 Above,RVQ,23/06/23,,1,1,,,,16,,1,1,1,0,1,,0.39,MOQ-2048,,House 2,Above,Domestic,Proximal flake
7,24,233-238,House 1 Above,AFA,29/06/23,,1,2,,,,16,,3,0,0,0,0,,0.93,MOQ-2025,,House 1,Above,Domestic,Angular debris
7,19,176-186,House 3,GDD,29/06/23,,1,1,,,,16,,1,0,1,0,3,,0.03,MOQ-2029,,House 3,Unspecified (House),Domestic,Proximal flake
7,30,165-171,House 1 Inside,RV/SC,28/06/23,,1,1,,,,16,,1,2,0,0,2,,0.79,MOQ-2028,,House 1,Inside,Domestic,Proximal flake
7,23,219-223,House 2 Above,RVQ,23/06/23,,1,1,,,,16,,1,0,2,0,3,,0.15,MOQ-2033,,House 2,Above,Domestic,Proximal flake
7,23,219-223,House 2 Above,RVQ,23/06/23,,1,2,,,,16,,1,1,2,0,1,,0.63,MOQ-2034,,House 2,Above,Domestic,Proximal flake
7,21,203-207,House 2 Floor,RP/L,29/06/23,,1,1,,,,16,,1,0,3,0,3,,0.28,MOQ-2030,,House 2,Inside,Domestic,Proximal flake
7,21,203-207,House 2 Floor,RP/L,29/06/23,,1,1,,,,16,,1,0,1,0,3,,0.21,MOQ-2031,,House 2,Inside,Domestic,Proximal flake
7,31,49-72,,GDD,28/06/23,,1,1,,,,16,,2,0,0,0,0,,0.42,MOQ-2060,,,Unknown,No Context,Flake shatter
7,25,116-123,,GDD,29/06/23,,1,1,,,,16,,1,0,2,0,3,,0.17,MOQ-2068,,,Unknown,No Context,Proximal flake
7,34,76-82,House 2 Outside,MB/LL,21/06/23,,1,2,,,,16,,3,0,0,0,0,,0.93,MOQ-2059,,House 2,Outside,Domestic,Angular debris
7,23,223-229,Below House 2,GDD,30/06/23,,1,2,,,,16,,3,0,0,0,0,,2.0,MOQ-2016,,House 2,Below,Domestic,Angular debris
7,35N,87-106,,AF/RV/SC,28/06/23,,1,2,,,,16,,1,2,1,0,1,,0.64,MOQ-1993,,,Unknown,No Context,Proximal flake
7,34,76-82,House 1 Outside,MB/LL,21/06/23,,1,1,,,,16,,2,0,0,0,0,,0.22,MOQ-2007,,House 1,Outside,Domestic,Flake shatter
7,24SW,253-261,House 4 Below Floor,MB/LL/RQ,24/07/23,,1,1,,,,16,,3,0,0,0,0,,0.17,MOQ-2055,,House 4,Inside,Domestic,Angular debris
7,24SW,253-261,House 4 Below Floor,MB/LL/RQ,24/07/23,,1,2,,,,16,,2,0,0,0,4,,0.47,MOQ-2054,,House 4,Inside,Domestic,Flake shatter
7,24,233-238,House 1 Above,AFA,29/06/23,,1,1,,,,16,,3,0,0,0,0,,0.51,MOQ-2035,,House 1,Above,Domestic,Angular debris
7,26,125-136,House 3 Outside,GDD,28/06/23,,1,1,,,,16,,3,0,0,0,0,,0.2,MOQ-2022,,House 3,Outside,Domestic,Angular debris
7,29,159-163,House 1 Inside,LL,29/06/23,,1,2,,,,16,,2,0,0,0,0,,1.61,MOQ-2050,,House 1,Inside,Domestic,Flake shatter
7,20,189-202,,GDD,29/06/23,,1,2,,,,16,,2,0,0,0,0,,0.87,MOQ-2011,,,Unknown,No Context,Flake shatter
7,21,203-207,House 2 Floor,RP/LL,29/06/23,,1,1,,,,16,,1,0,1,0,3,,0.07,MOQ-1982,,House 2,Inside,Domestic,Proximal flake
